0,1,2,3
-586250.03973588,-295433.95655523735,-320211.2733482065,-361230.6082344864
-359370.2932753832,-522452.3694019399,-412729.8290501454,-545006.7582763609
-408399.9447908999,-441953.6377185112,-482535.01948696043,-473888.90447318973
-442127.23876449635,-316248.8332160607,-279279.73324667965,-388079.27024989045
-386308.260637164,-406697.9939923198,-395234.33968254953,-402953.1697259678
-462049.4218587917,-459463.05689190497,-346064.53843431367,-341632.6298894831
-500341.89783413993,-593976.3676145693,-320012.25003563974,-332992.96094693016
-444017.01204027014,-479226.962496139,-364964.5599182748,-338750.26778026216
-497661.82406504534,-367909.70401543286,-339631.2319822623,-351706.6642350093
-377434.6506566676,-495353.2497046445,-448146.0098563849,-267515.27421084786
-276935.74919336307,-296938.45212646795,-324601.436892839,-383915.68881054706
-302607.9146989694,-477984.3767817006,-279430.76198548934,-552585.8551559823
-503453.83353020484,-533903.759995626,-234078.99651489966,-382866.06273243873
-536385.869118853,-392148.7382554335,-593865.2733091832,-238184.97570756616
-341468.064197551,-481058.4214568341,-570158.892590872,-698336.4700720476
-315981.90623900207,-338798.8578919288,-351828.19888961915,-364355.6932701252
-686104.530084135,-317428.3830739033,-639023.444456546,-357056.112395558
-321248.7953090366,-315371.65955001046,-354463.71525863494,-392871.3366132784
-317481.1165827305,-447694.3454091537,-512211.66275236785,-464247.11008148256
-812039.7417883214,-419782.54104215244,-424070.56733235857,-467356.6131867608
-583424.1795426236,-383469.27250460343,-502701.0282737996,-288539.079345376
-416242.86645096686,-451684.797992664,-451998.9098778374,-287718.38949622755
-288761.39337644854,-318707.7362979662,-382103.4324551595,-411756.2881117778
-362514.42120708834,-460414.8602715456,-343701.6827572069,-528169.262909183
-262534.51150607236,-548701.0325614585,-361035.6409702419,-393570.3655523725
-425398.06710798823,-290002.2036336755,-343153.9768331271,-337181.3888393957
-403269.22896563855,-395641.96114558313,-374992.0324324365,-465968.9164992743
-340150.7413149264,-361329.7690464845,-402333.673475726,-297528.3226408888
-339998.42650462,-317415.0442399073,-458441.4692774884,-507326.64186478546
-348016.6621371962,-459194.51811463304,-317030.24805992434,-376925.5415611933
-453634.0180505431,-480873.72396900906,-353255.68740404525,-553531.0745357883
-519119.5532586259,-336507.1778133035,-389648.7761480701,-319106.30062445113
-271285.6508081115,-409292.0098831665,-279852.96504379576,-355301.82886852336
-259979.09118826347,-593080.4458733951,-309727.16656927957,-348094.2800326421
-868068.1603961452,-527904.2539293799,-368667.66912817233,-332596.2476144939
-514126.5229635251,-472747.77686810243,-455534.5640837133,-538191.1136545205
-278871.2313081078,-476085.5586036492,-580894.1965195745,-325233.7528000681
-497204.1287631968,-596337.6139254426,-531335.155291025,-330181.07421154255
-304623.52895024157,-346566.2230882436,-349429.3763888694,-335667.8352629061
-475499.0355726086,-446012.04973483965,-431072.791653807,-369632.1872289413
-467331.64705608686,-436456.3159023846,-550788.2126352475,-403715.8648017936
-750715.2819169314,-547809.2303889006,-372708.82245662005,-400906.61801307864
-452764.0782825002,-633885.3126208305,-401813.4713740988,-378401.8541038758
-348304.04465945007,-561887.7519098951,-342972.7368316764,-389749.29653539957
-458719.65635455167,-333748.11346846435,-338528.0905368385,-405101.2273445331
-326405.1821688003,-457032.5781647928,-454108.30973690614,-368505.6521239594
-448246.6451068758,-273475.91421090235,-310767.3918274379,-815911.3518466374
-343850.35108266136,-479286.8800416367,-320361.8250503186,-398903.87845579576
-274123.8293999667,-464305.77886849217,-632308.6936416572,-610285.2107340482
-788585.1315425932,-468701.65624301677,-425594.7615643094,-329201.2678661351
-547672.5092241801,-463079.07893986854,-322451.90718496504,-350621.5107891956
-472714.92614286405,-296838.51605189487,-525825.2805220657,-422004.7663187771
-393940.2677533269,-356393.91059267963,-415861.49198512366,-459699.17758065864
-512235.4696430049,-425347.4885348703,-479293.2540065327,-355223.80111199815
