0,1,2,3
-535625.341499967,-490249.15806468984,-462784.0895996249,-752003.8196043244
-482532.614641489,-380565.2370411134,-379424.8302680633,-311748.0395824833
-283534.07597159786,-305654.2604822121,-501220.68197149754,-449176.0937874237
-436815.1580396696,-207079.65133564908,-308652.43617388536,-480183.9166347023
-417272.7725205025,-559657.2771439105,-419907.96088996285,-373592.63377035846
-321430.9872101826,-450936.17477572657,-498666.8042631895,-263632.9935827207
-255225.12855699682,-330339.30522957345,-292708.83570858254,-361610.0820549124
-581746.6369711865,-330777.0137396558,-339570.2330881062,-355942.1050531131
-465043.93140343187,-518480.29111165594,-359865.49164989806,-403573.42117199645
-408713.1325184166,-499671.62599726353,-238547.71386045398,-465605.0303191591
-421936.63995860174,-468004.26511752617,-428512.6627872155,-429175.8173997473
-320251.46299670346,-472719.70017255616,-511246.8455117818,-412863.2403548617
-367002.66697138164,-427923.11364570376,-404703.8691886056,-372733.3675616226
-375181.9948959861,-449115.38479404483,-493360.64003589103,-436846.5680645891
-456084.78348160925,-404802.59306556784,-358880.9254061445,-509919.46493416897
-362288.82362841786,-443130.73990053113,-353581.9953268242,-461935.6181719337
-564695.1342347922,-344753.2112611998,-411196.4714267839,-373753.3318200701
-291992.8139072363,-652992.8452659033,-337980.15963422466,-351338.26458887575
-474459.59841298533,-460410.6831913978,-653048.1431102662,-393026.78441081423
-485132.6415557201,-503103.62441166735,-558585.310173272,-312169.82867410354
-265027.88495884085,-366074.36656413454,-314192.78626624483,-533643.467770415
-440756.415309961,-540190.080714565,-339418.7349187248,-323462.77579458465
-525986.0888647398,-566793.3948483989,-583070.1414306263,-539360.0690446671
-398165.67399548914,-543137.0453540615,-384462.2808149476,-333741.56997152563
-413510.25723489275,-407400.98645210976,-516268.79213363177,-542796.4256076283
-337888.18157574727,-665717.2558406066,-326621.58957678126,-482704.4821608478
-446799.98532343446,-750943.9785000441,-459518.07399991923,-318865.11276874074
-548189.9261075627,-538554.3813958275,-454960.71367089206,-491445.0195833919
-464704.4004871179,-291420.92224856484,-563914.4826178096,-514245.997850635
-392862.8108547528,-409804.0101527898,-412881.6736701566,-526942.672990954
-408224.14251570526,-726941.8206930788,-481746.61463440425,-575315.776971856
-368123.26147856325,-403952.40775255003,-685416.4206724315,-413051.0824720866
-402504.66602209664,-443429.0693616013,-573707.1784106808,-327075.9824424557
-438827.1567129817,-548909.8333151818,-351250.98728568986,-269595.49274171185
-437514.2863955878,-389169.99808806565,-629454.3122017358,-539535.5151962148
-661104.786612836,-333964.63990084134,-468172.85259794595,-354583.3505116011
-419196.2006309789,-456992.09506783274,-598163.7149746881,-419706.80966983695
-407812.691152265,-452496.8308384685,-585699.5093582845,-310224.38171131356
-633169.572412079,-515298.18117412104,-452690.4016574148,-435961.0220754427
-487735.12141978985,-499640.2123910662,-646361.6168573744,-440865.07561784366
-684064.7570208503,-578214.9495452946,-376692.08158018533,-445040.13760934875
-686826.4211150006,-602237.5455270353,-430340.57361896336,-376627.4231204994
-327171.8313447183,-505535.75498444645,-477933.3301992789,-515295.5451775327
-482327.2409226255,-283665.1967526666,-675049.9441177178,-478328.87705530797
-503756.99003586546,-537461.726634324,-443746.1599032851,-324584.206908822
-344457.5287489185,-516605.8889913511,-454841.8873779322,-576788.1197200302
-232960.28217003556,-537543.9747370946,-599705.458588948,-526067.8194299624
-435600.1777176734,-581596.4918661787,-407819.2072406204,-492188.02347296017
-520176.0332867509,-672024.0756206561,-398165.70962889347,-471606.32404921786
-900347.9486699813,-413323.7772993976,-540585.4853599474,-444869.3587257767
-386057.3708861872,-472835.9970485766,-515526.2180884408,-308264.3157254813
-550983.8979426312,-468689.5069161057,-510419.3826876423,-530376.450714647
-316454.6074100378,-539885.9232004147,-447740.51565371617,-319601.2102160395
-456014.1764956874,-304898.8464303218,-818282.343128935,-367791.3513728859
-518941.8907377168,-629887.8972247884,-492462.79338426597,-406036.369033608
-317277.4357654397,-621499.8216739098,-424919.6337441749,-575399.2428334656
-360425.4240021086,-590682.6176288187,-711480.5392920572,-448993.2378119881
-466558.03771073313,-528344.3810260358,-530693.5806035683,-555113.8013770939
-589416.0801971696,-572728.2360479889,-684790.4369341292,-477493.18622534815
-592889.1782791895,-491009.1824170439,-610405.6416873244,-434279.43997249
-360472.00738648954,-532588.5549078038,-446672.2828774778,-430313.5365218749
-362342.48143727897,-405439.70602929196,-357122.5781060828,-399385.51201827946
-375767.04152020847,-426378.2730116172,-486962.6480169292,-507609.72432639345
-573383.6163961183,-458532.5630195705,-417277.2087572986,-421464.2323278552
-736640.7298287976,-338652.0492925744,-513651.91483401833,-417168.25912972307
-499872.2522622058,-422075.6696756411,-518095.283601021,-283445.0245547491
-280855.48386097676,-342697.2833536114,-589727.0170045436,-727992.3383775683
-297403.1223867394,-281871.0418691366,-547693.3933678312,-226821.56278737867
-672082.5204260496,-423972.7783800256,-474125.35685018654,-471488.54576487234
-347589.3845961512,-353485.78121340467,-451560.41601254576,-443552.14520572
-666224.9669197034,-373182.9701429163,-603395.4074545526,-366079.98041589634
-651781.3496080991,-419682.6721878487,-495040.7188451313,-467848.010039828
-517244.90247820393,-469188.24920614035,-828311.2850596219,-421093.5003093765
-238028.83767890785,-572160.9833255934,-340831.84590330685,-532733.6985865571
-363340.0842229254,-399273.5521680596,-411175.05602714483,-425392.03454674385
-671390.9263291045,-443351.93326693255,-456621.03510724637,-553832.4542791167
-642837.5366888536,-250331.14761518827,-477129.6794624469,-386886.29803973617
-610246.540022085,-637975.0697301306,-366509.42821978865,-441219.45014311525
-446855.68699702475,-396681.7434002313,-499895.3617057177,-418837.38358932786
-337032.7814363636,-397576.8851363792,-307489.1978252608,-908623.84701868
-314944.1868373483,-496915.9483152191,-445023.25797240704,-363997.1300122753
-804286.677288141,-401002.84805968136,-391639.0690717427,-545567.5986250595
-421023.87163029617,-595056.2953689526,-566893.219786835,-555925.399271317
-519916.2539004803,-408782.2724735012,-486607.7802284542,-335603.6281882682
-492233.51255179703,-458519.6320317752,-494231.57032269624,-355395.0520189033
-329174.2367962325,-626798.6229775909,-435565.1859348131,-468387.2921821908
-585554.7981110341,-682270.339593998,-701614.8062404661,-416521.6988050112
-488757.14205428946,-557229.784673044,-651579.953618162,-284046.9021923417
-444112.35794818774,-498161.99566060933,-585480.112785636,-642993.9290649634
-378308.5603105187,-306102.3036770518,-319318.41831312707,-582958.2068770762
-710809.2519369628,-419681.6362145378,-286592.63752754027,-496272.30678337935
-372097.255392097,-442858.3518858414,-359553.4084442333,-421231.3717202915
-403537.12240240973,-618291.3952881378,-581592.1778535435,-406783.6833099095
-385971.05131314934,-354951.18602881825,-500262.20794970787,-555714.8029674309
-634598.2046439509,-510750.41130600654,-483636.8935929143,-376963.3470683752
-372374.1647109197,-398962.22611835407,-417006.6179408331,-411136.84042260365
-538597.1067324083,-593884.3332979673,-375586.2340329144,-373930.5040038554
-639035.7578925432,-455227.6857289767,-621162.4581141425,-451786.37679828063
-457483.59960562334,-574940.9551962395,-462678.17870072974,-449703.44188002986
-555282.5073876582,-474677.81830096367,-444706.19681149966,-255430.78600803573
-490128.8997129124,-554446.4229864392,-341554.7254234828,-244852.322181348
-318805.424662495,-573882.0580439388,-510748.71339211817,-456083.1121104733
-615756.5085903703,-415437.3530974085,-516877.7580815798,-452420.36592303275
-567323.8670688478,-344713.38603621133,-355190.3213089555,-398863.672879032
-775116.3970685692,-573882.5815521346,-602234.0031670253,-440053.6644228643
-1051021.4368493722,-754175.1933558316,-742883.1899136793,-647205.2430060514
-416483.8203861344,-459617.0907986616,-548714.2158526597,-522893.99773989606
-551340.8632299481,-375498.83361089183,-354985.00660323864,-506690.9662682469
-570514.2828602099,-559522.3796998212,-356491.5359474391,-336939.11056072515
-466696.0109326421,-488926.11849706684,-425983.3442407268,-481708.67416068114
-627960.0031408195,-388377.8453173368,-584196.4314438892,-410207.7256061624
-555455.4475298154,-382130.76169482036,-648846.064105648,-630209.5721184638
-610276.0694461715,-363418.62291140645,-437326.03061266453,-305502.4572315489
-449092.85764472984,-398347.4633578413,-487953.60489893955,-684935.2090877205
-490215.6111774852,-419923.4136280898,-453788.87307740125,-465947.5901677192
-488394.5337830177,-400312.69241919037,-524906.4331451264,-445853.31641765597
-293048.5262716301,-337048.34056039905,-473455.8265370096,-493412.1393175223
-586593.9075524303,-604653.4244545661,-563534.5519275551,-396679.02265244944
-539861.4996288548,-575872.7192476701,-319723.77738448844,-689580.6895519017
-522601.95496145595,-423721.4241126131,-478402.02652205457,-461179.35030927206
-420028.8674985549,-491256.87104933435,-540762.0120993975,-616323.1609516948
-513790.25196053955,-518521.22647465084,-776193.0348019016,-289151.87135313114
-748775.8844085893,-482087.0054807356,-687351.3449064101,-400340.45468097273
-548326.5954019021,-369916.8378410653,-607227.4986004354,-477289.79815948446
-472982.26798064983,-404818.05734747363,-500443.676935373,-375543.7186529078
-713678.8818772492,-386620.2902495244,-502657.9874541333,-801171.1416603773
-492895.439486199,-433336.4027848667,-580299.9902789029,-653667.3534392206
-471778.17698635714,-268450.77401700884,-374560.01523543446,-506120.66468635
-486450.4832615611,-430878.276358422,-327051.62947030144,-305720.44749935536
-372889.11032883776,-668754.2297143327,-240862.97182770591,-443916.364387765
-493380.3297368623,-393809.6300831695,-492204.30228368123,-454922.58448120754
